id;age_months;age_window;domain;parent_title;parent_friendly_description;source_ids;related_activity_idea;evidence_level;discuss_if
ms_004_language_001;4;3-5 months;language_communication;Cooing sounds emerge;Baby makes vowel-like sounds.;cdc_ltsae_4_months|harvard_serve_return_guide;Coo conversation;gold;If baby makes no vocal sounds and you are concerned, discuss it.
ms_004_language_002;4;3-5 months;language_communication;Responds vocally to your voice;Baby makes sounds back when you talk.;cdc_ltsae_4_months|harvard_serve_return_guide;Talk-pause-talk;gold;If baby does not respond to voice or sound, ask a provider.
ms_004_language_003;4;3-5 months;language_communication;Turns toward familiar voice;Baby turns head toward your voice.;cdc_ltsae_4_months;Voice from side;gold;If baby does not orient to voices or sounds, discuss hearing/development.
ms_004_cognitive_001;4;3-5 months;cognitive;Anticipates feeding cue;Baby opens mouth when seeing breast or bottle if hungry.;cdc_ltsae_4_months;Name the routine;gold;If feeding cues are unclear and feeding is hard, discuss it.
ms_004_cognitive_002;4;3-5 months;cognitive;Studies own hands;Baby looks at hands with interest.;cdc_ltsae_4_months;Hand watching game;gold;If baby rarely visually explores hands/toys and you are concerned, discuss it.
ms_004_movement_001;4;3-5 months;movement_physical;Holds head steady with support;Baby keeps head steadier while being held.;cdc_ltsae_4_months|who_motor_milestones;Supported upright looking;gold;If head control seems very poor for age, discuss it.
ms_004_movement_002;4;3-5 months;movement_physical;Uses hands toward mouth or toys;Baby brings hands to mouth, holds placed toy, or bats at toys.;cdc_ltsae_4_months;Reach and mouth safe toy;gold;If baby does not use hands or one hand seems much less active, discuss it.
ms_004_movement_003;4;3-5 months;movement_physical;Pushes on forearms during tummy time;Baby lifts chest using elbows/forearms while awake on tummy.;cdc_ltsae_4_months|who_motor_milestones;Forearm tummy play;gold;If tummy play is very difficult or baby cannot lift at all, discuss it.
ms_006_social_001;6;5-7 months;social_emotional;Recognizes familiar people;Baby responds differently to people they know well.;cdc_ltsae_6_months|aap_zubler_2022;Familiar face greeting;gold;If baby does not seem to recognize familiar caregivers and you are concerned, discuss it.
ms_006_social_002;6;5-7 months;social_emotional;Enjoys mirror interaction;Baby looks at or reacts to their reflection.;cdc_ltsae_6_months;Mirror hello;gold;If baby rarely attends to faces/reflections and you are concerned, discuss it.
ms_006_social_003;6;5-7 months;social_emotional;Laughs during playful interaction;Baby laughs or shows clear enjoyment during social play.;cdc_ltsae_6_months;Laugh-and-pause play;gold;If baby rarely shows enjoyment in interaction, discuss it.
ms_006_language_001;6;5-7 months;language_communication;Takes turns with sounds;Baby and caregiver exchange sounds or pauses.;cdc_ltsae_6_months|harvard_serve_return_guide;Sound turn-taking;gold;If baby is not making sounds or not responding to interaction and you are concerned, discuss it.
ms_006_language_002;6;5-7 months;language_communication;Explores playful mouth sounds;Baby makes bubbly, squealing, or raspberry-like sounds.;cdc_ltsae_6_months;Silly sound copy;gold;If baby makes very few sounds, discuss it.
ms_006_cognitive_001;6;5-7 months;cognitive;Explores objects with mouth;Baby safely mouths objects to learn about them.;cdc_ltsae_6_months;Safe texture explore;gold;If baby does not explore objects at all and you are concerned, discuss it.
ms_006_cognitive_002;6;5-7 months;cognitive;Reaches for wanted toy;Baby reaches toward an interesting object.;cdc_ltsae_6_months;Side reach toy;gold;If baby does not reach for objects or one side is much weaker, discuss it.
ms_006_cognitive_003;6;5-7 months;cognitive;Shows stopping cue during feeding;Baby closes mouth or turns away to show no more.;cdc_ltsae_6_months|who_nurturing_care;Responsive feeding pause;gold;If feeding cues are difficult or feeding is stressful, discuss it.
ms_006_movement_001;6;5-7 months;movement_physical;Rolls from tummy toward back;Baby can roll from tummy to back.;cdc_ltsae_6_months|who_motor_milestones;Rolling invitation;gold;If baby never attempts rolling and you are concerned, discuss it.
ms_006_movement_002;6;5-7 months;movement_physical;Pushes up on straight arms;Baby pushes chest up with straighter arms during tummy play.;cdc_ltsae_6_months|who_motor_milestones;Straight-arm tummy reach;gold;If baby cannot push up at all during awake tummy time, discuss it.
ms_006_movement_003;6;5-7 months;movement_physical;Leans on hands while sitting;Baby uses hands for support in sitting.;cdc_ltsae_6_months|who_motor_milestones;Tripod sit practice;gold;If sitting support seems unusually difficult or floppy, discuss it.
ms_009_social_001;9;8-10 months;social_emotional;Shows stranger awareness;Baby may become shy, clingy, or cautious with unfamiliar people.;cdc_ltsae_9_months;Safe greeting routine;gold;If baby shows no recognition of familiar vs unfamiliar people and you are concerned, discuss it.
ms_009_social_002;9;8-10 months;social_emotional;Uses varied facial expressions;Baby shows multiple expressions during the day.;cdc_ltsae_9_months;Name the feeling face;gold;If facial expression is very limited and you are concerned, discuss it.
ms_009_social_003;9;8-10 months;social_emotional;Responds to name;Baby looks or reacts when called by name.;cdc_ltsae_9_months;Name pause game;gold;If baby does not respond to name or sounds, discuss hearing/development.
ms_009_social_004;9;8-10 months;social_emotional;React to caregiver leaving;Baby looks, reaches, or cries when caregiver leaves.;cdc_ltsae_9_months;Goodbye-return routine;gold;If baby rarely responds to caregiver presence/absence and you are concerned, discuss it.
ms_009_social_005;9;8-10 months;social_emotional;Enjoys peekaboo-style social play;Baby smiles, laughs, looks, or anticipates when you play peekaboo.;cdc_ltsae_9_months|harvard_serve_return_guide;Peekaboo Pause;gold;If baby rarely responds to social games and you are concerned, discuss it.
ms_009_language_001;9;8-10 months;language_communication;Repeats sound strings;Baby makes repeated syllable-like sound strings.;cdc_ltsae_9_months|harvard_serve_return_guide;Babble copy;gold;If baby does not babble or makes few sounds, discuss it.
ms_009_language_002;9;8-10 months;language_communication;Uses arms to request pickup;Baby lifts arms or gestures to be picked up.;cdc_ltsae_9_months;Up gesture routine;gold;If baby does not use gestures and you are concerned, discuss it.
ms_009_cognitive_001;9;8-10 months;cognitive;Looks for dropped or hidden object;Baby searches for object after it goes out of sight.;cdc_ltsae_9_months;Drop-and-find game;gold;If baby does not look for disappearing objects and you are concerned, discuss it.
ms_009_cognitive_002;9;8-10 months;cognitive;Bangs objects together;Baby explores by banging two safe objects.;cdc_ltsae_9_months;Two-block sound play;gold;If baby rarely manipulates objects and you are concerned, discuss it.
ms_009_movement_001;9;8-10 months;movement_physical;Gets into sitting;Baby moves into sitting independently.;cdc_ltsae_9_months|who_motor_milestones;Side sit transition play;gold;If baby cannot sit or transition and you are concerned, discuss it.
ms_009_movement_002;9;8-10 months;movement_physical;Transfers objects between hands;Baby moves a toy from one hand to the other.;cdc_ltsae_9_months;Pass-the-toy;gold;If one hand is much less active or baby does not transfer, discuss it.
ms_009_movement_003;9;8-10 months;movement_physical;Rakes small safe food;Baby uses fingers to rake food toward self.;cdc_ltsae_9_months;Safe finger food practice;gold;If feeding/finger use is difficult, discuss it.
ms_009_movement_004;9;8-10 months;movement_physical;Sits without support;Baby sits without hand support for a period.;cdc_ltsae_9_months|who_motor_milestones;Sit-and-reach play;gold;If baby cannot sit without support and you are concerned, discuss it.
ms_012_social_001;12;11-13 months;social_emotional;Plays simple social games;Baby joins games like clapping, peekaboo, or turn-taking routines.;cdc_ltsae_12_months|harvard_serve_return_guide;Pat-a-cake pause;gold;If baby does not engage in simple social play and you are concerned, discuss it.
ms_012_language_001;12;11-13 months;language_communication;Waves or uses goodbye gesture;Baby may wave or use a familiar gesture when someone leaves.;cdc_ltsae_12_months;Bye-bye routine;gold;If baby uses no gestures and you are concerned, discuss it.
ms_012_language_002;12;11-13 months;language_communication;Uses special name for parent;Baby says or approximates a special caregiver name.;cdc_ltsae_12_months;Name-and-respond;gold;If baby has no sounds/words and you are concerned, discuss it.
ms_012_language_003;12;11-13 months;language_communication;Pauses to simple boundary word;Baby pauses or stops briefly when caregiver says no.;cdc_ltsae_12_months;Simple boundary routine;gold;If baby does not respond to voice/words and you are concerned, discuss it.
ms_012_cognitive_001;12;11-13 months;cognitive;Puts object into container;Baby places an object into a cup, box, or container.;cdc_ltsae_12_months;In-and-out container play;gold;If baby does not explore objects functionally and you are concerned, discuss it.
ms_012_cognitive_002;12;11-13 months;cognitive;Finds a hidden object;Baby looks for a toy hidden under cloth or container.;cdc_ltsae_12_months;Hide-and-find toy;gold;If baby does not search for hidden objects and you are concerned, discuss it.
ms_012_movement_001;12;11-13 months;movement_physical;Pulls to stand;Baby pulls up using stable furniture or caregiver support.;cdc_ltsae_12_months|who_motor_milestones;Stable pull-to-stand play;gold;If baby is not bearing weight or pulling up and you are concerned, discuss it.
ms_012_movement_002;12;11-13 months;movement_physical;Cruises along support;Baby walks while holding furniture.;cdc_ltsae_12_months|who_motor_milestones;Cruise the sofa;gold;If baby is not moving toward standing/walking and you are concerned, discuss it.
ms_012_movement_003;12;11-13 months;movement_physical;Uses early pincer grasp;Baby picks up small safe food with thumb and index finger.;cdc_ltsae_12_months;Pincer snack practice;gold;If baby has difficulty using fingers or one hand, discuss it.
