id;age_range;domain;title;supports_milestone_ids;duration;materials;setup;steps;what_to_watch;why_it_works;evidence_bucket;evidence_label;source_ids;claim_limit;stop_rules;low_energy_option;adaptations;notes
act_004_cognitive_002;3-5 months;cognitive;Safe Mouth Explore;ms_004_movement_002|ms_004_cognitive_002;2-5 minutes;large safe teether;Offer one clean baby-safe object too large to choke.;Let baby look, touch, mouth safely, name texture and object.;Baby brings object or hands to mouth, explores, or turns away.;Mouthing safe objects supports sensory exploration and hand-mouth coordination.;silver;Mechanism-based;cdc_ltsae_4_months|who_nurturing_care;Supports exploration, does not require baby to mouth objects.;Use only age-safe objects, supervise, stop if gagging or distress occurs.;Offer one safe teether once.;Skip if baby is tired or unwell.;Needs choking safety review.
act_004_movement_001;3-5 months;movement_physical;Forearm Tummy Play;ms_004_movement_003|ms_004_movement_001;2-5 minutes;blanket and safe toy;Place baby awake and supervised on tummy.;Put toy or your face in front, encourage looking, keep session brief.;Baby lifts head, pushes on forearms, turns head, or watches.;Prone play supports head, shoulder and trunk control.;silver;Mechanism-based;cdc_ltsae_4_months|who_motor_milestones;Supports motor practice, does not force rolling or sitting.;Awake supervised only, stop if distressed, never for sleep.;One short tummy play moment.;Use chest-to-chest version.;Movement review needed.
act_006_social_001;5-7 months;social_emotional;Familiar Face Greeting;ms_006_social_001;2 minutes;none;Have a familiar caregiver enter calmly during awake time.;Say hello, pause, let baby look and respond, name the person.;Baby looks, smiles, reaches, settles, or changes expression.;Predictable greetings support recognition, social attention and responsive routines.;silver;Mechanism-based;cdc_ltsae_6_months|who_nurturing_care;Supports observation of recognition, not a formal assessment.;Stop if baby becomes overwhelmed.;One calm hello per day.;Works with video call only as social routine, not screen time habit.;Parent-friendly.
act_006_social_002;5-7 months;social_emotional;Mirror Hello;ms_006_social_002|ms_006_social_003;2-4 minutes;baby-safe mirror;Sit with baby supported and facing a baby-safe mirror.;Say hello to reflection, smile, pause, name what baby does.;Baby looks, smiles, touches mirror, vocalizes, or turns away.;Face-focused routines support social attention and responsive caregiving.;silver;Mechanism-based;cdc_ltsae_6_months|harvard_serve_return_guide;Supports interaction, does not measure self-recognition.;Use baby-safe mirror, stop if overstimulated.;One mirror hello.;Hold baby securely.;Included in review-ready page.
act_006_language_001;5-7 months;language_communication;Sound Turn-Taking;ms_006_language_001|ms_006_language_002;2-5 minutes;none;Hold baby where they can see your face.;Wait for sound or expression, copy it, pause, respond again.;Baby vocalizes, smiles, kicks, looks, or pauses.;Back-and-forth interaction supports early communication and social learning.;silver;Mechanism-based;harvard_serve_return_guide|who_nurturing_care;Supports communication prerequisites, does not treat language delay.;Stop if baby turns away, cries, stiffens, coughs, or seems tired.;Do 30 seconds during diapering.;Use any family language.;Core activity.
act_006_cognitive_001;5-7 months;cognitive;Side Reach Toy;ms_006_cognitive_002|ms_006_movement_003;3-5 minutes;one safe toy;Place baby on back, side-lying, tummy, or supported sitting.;Hold toy slightly to one side, wait for looking or reaching, celebrate attempt.;Baby looks, reaches, shifts weight, or grasps.;Reaching supports visual attention, arm control, body awareness and problem-solving.;silver;Mechanism-based;cdc_ltsae_6_months|who_motor_milestones;Supports reaching practice, does not require grasping every time.;Avoid small items, stop if tired or frustrated.;Offer one side reach once.;Use larger easy-grip toy.;Needs OT review.
act_006_cognitive_002;5-7 months;cognitive;Responsive Feeding Pause;ms_006_cognitive_003;during feeding;normal feeding setup;Use normal feeding routine and watch baby cues.;Offer, pause when baby slows or turns away, name the cue, continue only if baby re-engages.;Baby closes mouth, turns away, reaches, opens mouth, or relaxes.;Responsive caregiving helps baby's cues become meaningful in interaction.;silver;Nurturing-care aligned;cdc_ltsae_6_months|who_nurturing_care;Supports cue reading, does not solve feeding problems.;If feeding is unsafe, painful, stressful, or growth is a concern, speak with provider.;Pause once and name cue.;Use with milk or solids as appropriate.;Needs feeding safety review.
act_006_movement_001;5-7 months;movement_physical;Straight-Arm Tummy Reach;ms_006_movement_002|ms_006_cognitive_002;2-5 minutes;blanket and safe toy;Place baby awake and supervised on tummy.;Put toy in front and slightly to side, encourage looking and reaching, keep brief.;Baby pushes up, shifts weight, reaches, or watches.;Brief prone play supports shoulder, trunk and head control.;silver;Mechanism-based;cdc_ltsae_6_months|who_motor_milestones;Supports motor practice, does not force milestone achievement.;Awake supervised only, stop if distressed, hungry, tired, or uncomfortable.;One short tummy reach.;Use caregiver face instead of toy.;Movement review needed.
act_006_movement_002;5-7 months;movement_physical;Tripod Sit Practice;ms_006_movement_003;1-3 minutes;blanket and caregiver hands;Place baby on floor with caregiver close and support as needed.;Let baby lean on hands briefly, place toy in front, end before fatigue.;Baby leans on hands, lifts head, or shifts weight.;Supported sitting practice can support trunk control when baby shows readiness.;silver;Mechanism-based;cdc_ltsae_6_months|who_motor_milestones;Supports readiness, does not force independent sitting.;Stay close, do not leave baby sitting alone, stop if slumping or distress.;One brief supported sit.;Use caregiver lap instead of floor.;Needs physiotherapist review.
act_009_social_001;8-10 months;social_emotional;Peekaboo Pause;ms_009_social_005|ms_009_cognitive_001;2-4 minutes;cloth or hands;Sit facing baby during calm awake time.;Hide face briefly, reappear, smile, wait for baby's response.;Baby smiles, laughs, looks, reaches, or anticipates return.;Peekaboo supports social anticipation, object permanence and turn-taking.;silver;Mechanism-based;cdc_ltsae_9_months|harvard_serve_return_guide;Supports social play, not a test of cognition.;Stop if baby is startled or upset.;One peekaboo turn.;Use hands instead of cloth.;Map note: supports CDC peekaboo milestone.
act_009_social_002;8-10 months;social_emotional;Name Pause Game;ms_009_social_003;1-2 minutes;none;During normal play, call baby's name warmly once.;Wait without repeating too quickly, respond to any look or movement.;Baby looks, stills, smiles, vocalizes, or turns.;Name routines support social attention and caregiver observation.;silver;Mechanism-based;cdc_ltsae_9_months|harvard_serve_return_guide;Supports observation, does not assess hearing or autism.;If baby never responds to name or sounds, discuss with provider.;Call name once during play.;Reduce background noise.;Needs reviewer note.
act_009_language_001;8-10 months;language_communication;Babble Copy;ms_009_language_001;2-5 minutes;none;Sit face-to-face or beside baby.;Copy baby's sound string, add a simple word, pause for response.;Baby repeats sounds, smiles, changes rhythm, or listens.;Imitative turn-taking supports early communication and sound play.;silver;Mechanism-based;cdc_ltsae_9_months|harvard_serve_return_guide;Supports communication, does not teach words directly.;Stop if baby is tired or frustrated.;Copy one babble once.;Use home language.;Good organic content.
act_009_language_002;8-10 months;language_communication;Up Gesture Routine;ms_009_language_002;1-2 minutes;none;Before picking baby up, pause and show open arms.;Say up, wait, respond to any reach or arm lift.;Baby lifts arms, leans, vocalizes, or looks.;Consistent gesture routines support early communication before words.;silver;Mechanism-based;cdc_ltsae_9_months|who_nurturing_care;Supports gesture communication, does not replace speech evaluation.;Stop if baby is upset or unsafe to wait.;Pause once before pickup.;Use family word for up.;Useful for parent education.
act_009_cognitive_001;8-10 months;cognitive;Drop-and-Find Game;ms_009_cognitive_001;2-5 minutes;safe spoon or toy;Sit with baby safely supported.;Drop toy within sight, pause, ask where it went, help baby look.;Baby looks down, searches, reaches, or anticipates.;Searching for dropped objects supports attention and object permanence.;silver;Mechanism-based;cdc_ltsae_9_months;Supports exploration, not a cognition test.;Use safe object, avoid throwing near face, stop if frustrated.;Drop once and look together.;Use high chair only if safely seated.;Needs safety note.
act_009_movement_001;8-10 months;movement_physical;Pass-the-Toy;ms_009_movement_002|ms_009_cognitive_002;2-4 minutes;one easy-grip toy;Offer toy at midline while baby sits supported or on floor.;Let baby take it, offer from other side, wait for transfer.;Baby grasps, transfers, bangs, or explores.;Object transfer supports bilateral coordination and exploration.;silver;Mechanism-based;cdc_ltsae_9_months|who_motor_milestones;Supports practice, does not assess hand function alone.;Stop if baby is tired, avoid small parts.;One pass from hand to hand.;Use larger toy.;OT review useful.
act_009_movement_002;8-10 months;movement_physical;Sit-and-Reach Play;ms_009_movement_004|ms_009_cognitive_002;2-5 minutes;safe toys;Place baby sitting on floor with close supervision.;Put toys slightly in front and to side, let baby reach and return.;Baby sits, reaches, adjusts balance, or uses hands.;Sitting with reach supports trunk control, balance and purposeful exploration.;silver;Mechanism-based;cdc_ltsae_9_months|who_motor_milestones;Supports balance practice, does not force sitting.;Stay close, avoid hard surfaces, stop if baby slumps or falls repeatedly.;One toy reach while sitting.;Use caregiver lap support.;Movement review needed.
act_012_social_001;11-13 months;social_emotional;Pat-a-Cake Pause;ms_012_social_001;2-4 minutes;none;Sit facing baby in a calm playful moment.;Clap slowly, pause, wait for baby to join, copy any attempt.;Baby claps, smiles, watches, vocalizes, or anticipates.;Simple social games support turn-taking, imitation and shared attention.;silver;Mechanism-based;cdc_ltsae_12_months|harvard_serve_return_guide;Supports social play, does not require perfect clapping.;Stop if baby loses interest or is frustrated.;One clap and pause.;Use any family song.;Good starter pack item.
act_012_language_001;11-13 months;language_communication;Bye-Bye Routine;ms_012_language_001;1 minute;none;Use a real departure or object disappearing routine.;Wave slowly, say bye-bye, pause for any gesture or look.;Baby waves, looks, vocalizes, smiles, or watches.;Repeated meaningful gestures support communication in everyday routines.;silver;Mechanism-based;cdc_ltsae_12_months|who_nurturing_care;Supports gesture use, does not replace language evaluation.;Do not drill, stop if baby is upset by leaving.;Wave once when leaving room.;Use family word for goodbye.;Language review useful.
act_012_language_002;11-13 months;language_communication;Name-and-Respond;ms_012_language_002;2-3 minutes;none;During play, label caregiver names naturally.;Say mama, dada, or chosen caregiver name, wait, respond to baby's sound.;Baby vocalizes, approximates, points, looks, or smiles.;Responsive naming supports word meaning through warm repeated routines.;silver;Mechanism-based;cdc_ltsae_12_months|harvard_serve_return_guide;Supports language routines, does not guarantee words.;Stop if baby is frustrated, avoid pressure to perform.;Say name once in routine.;Use any caregiver name.;Keep culturally flexible.
act_012_cognitive_001;11-13 months;cognitive;In-and-Out Container Play;ms_012_cognitive_001;3-6 minutes;large blocks and container;Place a few large safe objects and a container on floor.;Show one object going in, pause, let baby try, dump out together.;Baby puts in, takes out, bangs, looks, or imitates.;Container play supports problem-solving, hand use and cause-effect learning.;silver;Mechanism-based;cdc_ltsae_12_months;Supports exploration, not task performance.;Use non-choking objects, supervise, stop if frustrated.;One object in and out.;Use laundry basket and soft toys.;Good visual content.
act_012_cognitive_002;11-13 months;cognitive;Hide-and-Find Toy;ms_012_cognitive_002;2-5 minutes;toy and cloth;Let baby see you partly hide a toy under cloth.;Ask where it is, pause, let baby uncover or help.;Baby looks, reaches, lifts cloth, or smiles.;Hide-and-find supports object permanence and shared attention.;silver;Mechanism-based;cdc_ltsae_12_months|harvard_serve_return_guide;Supports problem-solving, not a cognition test.;Stop if baby is upset, avoid covering face.;Hide toy halfway once.;Use transparent scarf if needed.;Needs safety note.
act_012_movement_001;11-13 months;movement_physical;Stable Pull-to-Stand Play;ms_012_movement_001|ms_012_movement_002;2-5 minutes;stable furniture;Use low stable furniture and stay close.;Place toy on safe surface, let baby pull or kneel if ready, support as needed.;Baby kneels, pulls, stands with support, or cruises.;Supported standing opportunities can support strength and balance when baby shows readiness.;silver;Mechanism-based;cdc_ltsae_12_months|who_motor_milestones;Supports readiness, does not push early walking.;Use only stable furniture, stay close, stop if baby is tired or unsafe.;One supported stand attempt.;Use caregiver hands if safer.;Physio review required.
act_012_movement_002;11-13 months;movement_physical;Pincer Snack Practice;ms_012_movement_003;during meal;safe soft finger food;Seat baby safely for eating with caregiver present.;Offer one safe small soft food piece, wait, let baby attempt pickup.;Baby rakes, pinches, touches, or brings food to mouth.;Self-feeding practice supports fine motor control and responsive feeding.;silver;Mechanism-based;cdc_ltsae_12_months|who_nurturing_care;Supports fine motor practice, not feeding therapy.;Use safe foods, supervise closely, follow choking guidance, stop if unsafe.;Offer one safe piece.;Use non-food large object if feeding is not appropriate.;Needs feeding expert review.
