id;age_range;domain;title;supports_milestone_ids;duration;materials;setup;steps;what_to_watch;why_it_works;evidence_bucket;evidence_label;source_ids;claim_limit;stop_rules;low_energy_option;adaptations;notes
act_004_language_001;3-5 міс;Мовлення;Розмова воркуванням;ms_004_language_001|ms_004_language_002;2-4 хв;без матеріалів;Тримайте дитину так, щоб ваше обличчя було видно.;Тримайте дитину так, щоб бачити ваше обличчя. Видайте м'який голосний звук і зачекайте. Повторіть звук дитини. Знову зробіть паузу для відповіді.;Дитина воркує, рухає ротиком, усміхається або слухає.;Обмін звуками підтримує раннє вокальне чергування й увагу до комунікації.;silver;На основі механізму;harvard_serve_return_guide|cdc_ltsae_4_months;Підтримує вокальну практику, не гарантує мовленнєвих результатів.;Зупиніться, якщо дитина втомлена, голодна або засмучена.;Видайте одне воркування під час одягання.;Використовуйте природні звуки дитини.;Гарно для стартового пакета.
act_004_language_002;3-5 міс;Мовлення;Голос збоку;ms_004_language_003;1-2 хв;без матеріалів;Коли дитина не спить, тихо говоріть збоку звичайним голосом.;Коли дитина не спить, тихо говоріть збоку звичайним голосом. Скажіть ім'я дитини або коротку фразу. Зачекайте на реакцію. Пізніше спробуйте з іншого боку.;Дитина завмирає, дивиться, повертає голову або змінює вираз.;Щоденні голосові рутини підтримують слухову увагу і спостереження дорослого.;silver;На основі механізму;cdc_ltsae_4_months|harvard_serve_return_guide;Підтримує спостереження, не замінює скринінг слуху.;Не використовуйте гучних звуків. Якщо реакції на звук немає, обговоріть із фахівцем.;Скажіть одну фразу збоку.;Використовуйте знайомий голос дорослого.;Потребує рев'ю фахівця з мовлення.
act_004_cognitive_001;3-5 міс;Мислення;Розглядаємо ручки;ms_004_cognitive_002|ms_004_movement_002;2-3 хв;без матеріалів;Покладіть дитину на спину або тримайте з підтримкою на руках.;Покладіть дитину на спину або тримайте з підтримкою. Обережно піднесіть ручки дитини в поле зору. Назвіть руки. Зробіть паузу, щоб дитина подивилась.;Дитина дивиться на руки, розкриває пальці, підносить руки до рота.;Розглядання рук підтримує відчуття тіла і раннє дослідження.;silver;На основі механізму;cdc_ltsae_4_months|who_nurturing_care;Підтримує відчуття тіла, не оцінює дрібну моторику.;Не розгинайте долоні силою. Зупиніться, якщо дитина опирається.;Назвіть руки один раз під час сповивання.;Використайте м'яке брязкальце на зап'ясток лише якщо це безпечно й під наглядом.;Уникайте перезбудження.
act_004_cognitive_002;3-5 міс;Мислення;Безпечне дослідження ротом;ms_004_movement_002|ms_004_cognitive_002;2-5 хв;великий безпечний прорізувач;Запропонуйте один чистий безпечний предмет, завеликий, щоб ним вдавитися.;Запропонуйте один чистий безпечний предмет, завеликий, щоб ним вдавитися. Дайте дитині подивитись і торкнутись. Дайте безпечно дослідити ротом. Назвіть текстуру і предмет.;Дитина підносить предмет чи руки до рота, досліджує або відвертається.;Дослідження безпечних предметів ротом підтримує сенсорний досвід і координацію 'рука-рот'.;silver;На основі механізму;cdc_ltsae_4_months|who_nurturing_care;Підтримує дослідження, не вимагає тягнути предмети в рот.;Лише безпечні за віком предмети. Наглядайте. Зупиніться, якщо є позиви до блювоти або дискомфорт.;Запропонуйте один безпечний прорізувач один раз.;Пропустіть, якщо дитина втомлена або нездорова.;Потребує рев'ю безпеки щодо удавлення.
act_004_movement_002;3-5 міс;Рух;Дотягнись і потримай;ms_004_movement_002;2-4 хв;легка іграшка для захвату;NEEDS_REVIEW;Покладіть дитину на спину або з підтримкою. Тримайте легку іграшку по центру в межах досяжності руки. Дайте подивитися, дотягнутися й схопити. Дозвольте піднести до рота, якщо це безпечно.;NEEDS_REVIEW;Легка іграшка по центру підтримує тягнення, захват і координацію рука-рот.;silver;На основі механізму;CDC + WHO motor;NEEDS_REVIEW;Лише великі безпечні іграшки. Наглядайте. Зупиніться, якщо дитина втомлена або фрустрована.;NEEDS_REVIEW;NEEDS_REVIEW;
act_004_movement_001;3-5 міс;Рух;Гра на передпліччях на животику;ms_004_movement_003|ms_004_movement_001;2-5 хв;ковдра і безпечна іграшка;Покладіть дитину на животик, коли вона не спить і під наглядом.;Покладіть дитину на животик, коли вона не спить і під наглядом. Покладіть іграшку або своє обличчя попереду. Заохочуйте дивитись. Нехай це буде коротко.;Дитина піднімає голову, спирається на передпліччя, повертає голову або спостерігає.;Гра на животику підтримує контроль голови, плечей і тулуба.;silver;На основі механізму;cdc_ltsae_4_months|who_motor_milestones;Підтримує моторну практику, не форсує перевертання чи сидіння.;Лише коли дитина не спить і під наглядом. Зупиніться, якщо засмучена. Ніколи не для сну.;Одна коротка хвилинка гри на животику.;Використайте варіант груди-до-грудей.;Потрібне рев'ю щодо руху.
act_006_social_001;5-7 міс;Соціальний;Привітання знайомого обличчя;ms_006_social_001;2 хв;без матеріалів;Нехай знайомий дорослий спокійно зайде, коли дитина не спить.;Нехай знайомий дорослий спокійно зайде, коли дитина не спить. Скажіть 'привіт' і зробіть паузу. Дайте дитині подивитись і відповісти. Назвіть людину.;Дитина дивиться, усміхається, тягнеться, заспокоюється або змінює вираз.;Передбачувані привітання підтримують впізнавання, соціальну увагу і чутливі рутини.;silver;На основі механізму;cdc_ltsae_6_months|who_nurturing_care;Підтримує спостереження за впізнаванням, це не формальна оцінка.;Зупиніться, якщо дитина перевтомлюється.;Одне спокійне привітання на день.;Підходить для відеодзвінка лише як соціальна рутина, не як звичка до екрана.;Дружнє до батьків.
act_006_social_002;5-7 міс;Соціальний;Привіт у дзеркалі;ms_006_social_002|ms_006_social_003;2-4 хв;безпечне дитяче дзеркало;Посадіть дитину з підтримкою обличчям до безпечного дитячого дзеркала.;Посадіть або потримайте дитину з підтримкою перед безпечним дзеркалом. Скажіть 'привіт' відображенню. Усміхніться, зробіть паузу і подивіться на реакцію. Назвіть те, що бачите.;Дитина дивиться, усміхається, торкається дзеркала, видає звуки або відвертається.;Рутини з обличчями підтримують соціальну увагу і чутливу турботу.;silver;На основі механізму;cdc_ltsae_6_months|harvard_serve_return_guide;Підтримує взаємодію, не вимірює самовпізнавання.;Використовуйте безпечне дзеркало. Зупиніться, якщо дитина перевтомлюється або їй некомфортно.;Одне привітання в дзеркалі.;Надійно тримайте дитину.;Включено до сторінки, готової до рев'ю.
act_006_language_001;5-7 міс;Мовлення;Діалог звуками;ms_006_language_001|ms_006_language_002;2-5 хв;без матеріалів;Тримайте дитину так, щоб вона бачила ваше обличчя.;Тримайте дитину так, щоб вона бачила ваше обличчя. Дочекайтесь звуку, усмішки, руху або виразу. Тепло повторіть це. Зробіть паузу і дайте дитині час відповісти.;Дитина видає звуки, усміхається, дриґає ніжками, дивиться або робить паузу.;Взаємодія 'звук - відповідь - пауза' підтримує увагу, ранню комунікацію і соціальне навчання.;silver;На основі механізму;harvard_serve_return_guide|who_nurturing_care;Підтримує передумови комунікації, не лікує затримку мовлення.;Зупиніться, якщо дитина відвертається, плаче, напружується, кашляє або виглядає втомленою.;Зробіть 30 секунд під час сповивання.;Використовуйте будь-яку сімейну мову.;Базова активність.
act_006_language_002;5-7 міс;Мовлення;Повторюй кумедні звуки;ms_006_language_002;2-4 хв;без матеріалів;NEEDS_REVIEW;Сядьте обличчям до дитини. Коли дитина видає булькаючий або писклявий звук, тепло повторіть його. Зробіть паузу й чекайте. Додайте один новий грайливий звук і знову чекайте.;NEEDS_REVIEW;Повторення булькаючих звуків заохочує грайливе дослідження голосу й чергування.;silver;На основі механізму;Harvard + CDC;NEEDS_REVIEW;Зупиніться, якщо дитина відвертається, кашляє або втомлена.;NEEDS_REVIEW;NEEDS_REVIEW;
act_006_cognitive_001;5-7 міс;Мислення;Іграшка збоку;ms_006_cognitive_002|ms_006_movement_003;3-5 хв;одна безпечна іграшка;Покладіть дитину на спину, бік, животик або посадіть із підтримкою.;Покладіть дитину на спину, бік, животик або посадіть із підтримкою. Тримайте іграшку трохи збоку. Дочекайтесь погляду, тягнення або зміщення тіла. Підтримайте спробу, навіть якщо дитина не схопила іграшку.;Дитина дивиться, тягнеться, зміщує вагу або хапає.;Тягнення до іграшки підтримує зорову увагу, контроль руки, відчуття тіла і раннє розв'язання задач.;silver;На основі механізму;cdc_ltsae_6_months|who_motor_milestones;Підтримує практику тягнення, не вимагає захвату щоразу.;Не використовуйте дрібні предмети. Зупиніться, якщо дитина втомлена або фрустрована.;Запропонуйте одне тягнення вбік один раз.;Використайте більшу зручну для хвату іграшку.;Потребує рев'ю ерготерапевта.
act_006_cognitive_002;5-7 міс;Мислення;Пауза під час годування;ms_006_cognitive_003;під час годування;звичайне годування;Використайте звичайну рутину годування і стежте за сигналами дитини.;Пропонуйте їжу або молоко як зазвичай. Зробіть паузу, коли дитина сповільнюється, закриває рот або відвертається. Спокійно назвіть сигнал: 'Ти показуєш, що досить'. Продовжуйте лише якщо дитина знову включається.;Дитина закриває рот, відвертається, тягнеться, відкриває рот або розслабляється.;Чутлива реакція на сигнали дитини допомагає їй відчувати, що її комунікація має значення.;silver;Узгоджено з nurturing care;cdc_ltsae_6_months|who_nurturing_care;Підтримує читання сигналів, не вирішує проблеми з годуванням.;Якщо годування стресове, болісне, небезпечне або є питання росту, зверніться до фахівця.;Зробіть одну паузу й назвіть сигнал.;Застосовуйте з молоком або прикормом відповідно.;Потребує рев'ю безпеки годування.
act_006_movement_001;5-7 міс;Рух;Тягнемось на животику;ms_006_movement_002|ms_006_cognitive_002;2-5 хв;ковдра і безпечна іграшка;Покладіть дитину на животик, коли вона не спить і під наглядом.;Покладіть дитину на животик лише коли вона не спить і під вашим наглядом. Покладіть іграшку попереду і трохи збоку. Заохочуйте дивитися, тягнутися або підніматися. Нехай це буде коротко.;Дитина підводиться, зміщує вагу, тягнеться або спостерігає.;Коротка гра на животику під наглядом підтримує контроль голови, плечей і тулуба.;silver;На основі механізму;cdc_ltsae_6_months|who_motor_milestones;Підтримує моторну практику, не форсує досягнення віхи.;Тільки коли дитина не спить і під наглядом. Ніколи не використовуйте гру на животику для сну.;Одне коротке тягнення на животику.;Використайте обличчя дорослого замість іграшки.;Потрібне рев'ю щодо руху.
act_006_movement_002;5-7 міс;Рух;Тренування сидіння з опорою на руки;ms_006_movement_003;1-3 хв;ковдра і руки дорослого;Посадіть дитину на підлогу, дорослий поруч, підтримуйте за потреби.;Посадіть дитину на підлогу, дорослий поруч. Дайте дитині ненадовго спертися на руки. Покладіть іграшку попереду. Завершіть до втоми.;Дитина спирається на руки, піднімає голову або зміщує вагу.;Сидіння з підтримкою може підтримувати контроль тулуба, коли дитина до цього готова.;silver;На основі механізму;cdc_ltsae_6_months|who_motor_milestones;Підтримує готовність, не форсує самостійне сидіння.;Будьте поруч. Не залишайте дитину сидіти саму. Зупиніться, якщо вона завалюється або засмучена.;Одне коротке сидіння з підтримкою.;Використайте коліна дорослого замість підлоги.;Потребує рев'ю фізіотерапевта.
act_009_social_001;8-10 міс;Соціальний;Пауза в 'ку-ку';ms_009_social_005|ms_009_cognitive_001;2-4 хв;тканина або руки;Сядьте навпроти дитини у спокійний неспаний час.;Сядьте навпроти дитини у спокійний момент. Ненадовго сховайте обличчя. З'явіться і усміхніться. Зачекайте на реакцію дитини.;Дитина усміхається, сміється, дивиться, тягнеться або очікує появи.;'Ку-ку' підтримує соціальне передчуття, постійність об'єкта і чергування.;silver;На основі механізму;cdc_ltsae_9_months|harvard_serve_return_guide;Підтримує соціальну гру, це не тест мислення.;Зупиніться, якщо дитина злякалась або засмутилась.;Один раунд гри в хованки обличчям.;Використайте руки замість тканини.;Підтримує віху CDC щодо гри в хованки.
act_009_social_002;8-10 міс;Соціальний;Гра з ім'ям і паузою;ms_009_social_003;1-2 хв;без матеріалів;Під час звичайної гри тепло покличте дитину на ім'я один раз.;Під час звичайної гри тепло покличте дитину на ім'я один раз. Зачекайте, не повторюючи надто швидко. Відповідайте на будь-який погляд чи рух. За потреби зменшіть фоновий шум.;Дитина дивиться, завмирає, усміхається, видає звуки або повертається.;Рутини з ім'ям підтримують соціальну увагу і спостереження дорослого.;silver;На основі механізму;cdc_ltsae_9_months|harvard_serve_return_guide;Підтримує спостереження, не оцінює слух чи аутизм.;Якщо дитина ніколи не реагує на ім'я чи звуки, обговоріть із фахівцем.;Покличте на ім'я один раз під час гри.;Зменшіть фоновий шум.;Потребує примітки рецензента.
act_009_language_001;8-10 міс;Мовлення;Повторюємо лепет;ms_009_language_001;2-5 хв;без матеріалів;Сядьте обличчям до обличчя або поруч із дитиною.;Сядьте навпроти або поруч із дитиною. Повторіть ланцюжок звуків дитини. Додайте просте слово. Зробіть паузу для відповіді.;Дитина повторює звуки, усміхається, змінює ритм або слухає.;Наслідувальне чергування підтримує ранню комунікацію і гру звуками.;silver;На основі механізму;cdc_ltsae_9_months|harvard_serve_return_guide;Підтримує комунікацію, не навчає слів напряму.;Зупиніться, якщо дитина втомлена або фрустрована.;Повторіть один лепет один раз.;Використовуйте домашню мову.;Гарний органічний контент.
act_009_language_002;8-10 міс;Мовлення;Жест 'на ручки';ms_009_language_002;1-2 хв;без матеріалів;Перш ніж взяти дитину, зробіть паузу й покажіть розкриті руки.;Перш ніж взяти дитину, зробіть паузу. Покажіть розкриті руки. Скажіть 'на ручки' і зачекайте. Відповідайте на будь-яке тягнення чи підняття рук.;Дитина піднімає руки, нахиляється, видає звуки або дивиться.;Послідовні жестові рутини підтримують ранню комунікацію до слів.;silver;На основі механізму;cdc_ltsae_9_months|who_nurturing_care;Підтримує жестову комунікацію, не замінює оцінку мовлення.;Зупиніться, якщо дитина засмучена або чекати небезпечно.;Зробіть одну паузу перед тим, як взяти.;Використайте сімейне слово для прохання на руки.;Корисно для навчання батьків.
act_009_cognitive_001;8-10 міс;Мислення;Впустив - знайди;ms_009_cognitive_001;2-5 хв;безпечна ложка або іграшка;Сядьте з дитиною, що має надійну опору.;Сядьте з дитиною, що має надійну опору. Впустіть іграшку в полі зору. Зробіть паузу і спитайте, куди вона поділась. Допоможіть дитині подивитись.;Дитина дивиться вниз, шукає, тягнеться або очікує.;Пошук впалих предметів підтримує увагу і постійність об'єкта.;silver;На основі механізму;cdc_ltsae_9_months;Підтримує дослідження, це не тест мислення.;Використовуйте безпечний предмет. Не кидайте біля обличчя. Зупиніться, якщо дитина фрустрована.;Впустіть один раз і подивіться разом.;Використовуйте стільчик для годування лише якщо дитина надійно сидить.;Потребує примітки щодо безпеки.
act_009_cognitive_002;8-10 міс;Мислення;Гра двома кубиками;ms_009_cognitive_002;2-4 хв;два безпечні кубики або стаканчики;NEEDS_REVIEW;Сядьте з дитиною з підтримкою. Дайте по одному безпечному предмету в кожну руку. Покажіть, як звести їх разом, щоб був звук. Зробіть паузу й дайте спробувати самій.;NEEDS_REVIEW;Стукання двох предметів підтримує навчання причини-наслідку й координацію рук.;silver;На основі механізму;CDC 9 місяців;NEEDS_REVIEW;Лише безпечні предмети, що не б'ються. Наглядайте. Зупиніться, якщо дитина фрустрована.;NEEDS_REVIEW;NEEDS_REVIEW;
act_009_movement_001;8-10 міс;Рух;Передай іграшку;ms_009_movement_002|ms_009_cognitive_002;2-4 хв;одна зручна для хвату іграшка;Запропонуйте іграшку по центру, коли дитина сидить з опорою або на підлозі.;Запропонуйте іграшку по центру, коли дитина сидить з опорою або на підлозі. Дайте дитині взяти її. Запропонуйте з іншого боку. Зачекайте на перекладання.;Дитина хапає, перекладає, стукає або досліджує.;Перекладання предметів підтримує двосторонню координацію і дослідження.;silver;На основі механізму;cdc_ltsae_9_months|who_motor_milestones;Підтримує практику, саме по собі не оцінює функцію рук.;Зупиніться, якщо дитина втомлена. Уникайте дрібних деталей.;Одне перекладання з руки в руку.;Використайте більшу іграшку.;Корисне рев'ю ерготерапевта.
act_009_movement_002;8-10 міс;Рух;Сидимо і тягнемось;ms_009_movement_004|ms_009_cognitive_002;2-5 хв;безпечні іграшки;Посадіть дитину на підлогу під пильним наглядом.;Посадіть дитину на підлогу під пильним наглядом. Покладіть іграшки трохи попереду і збоку. Дайте дитині тягнутися. Дайте повернутись у сидіння.;Дитина сидить, тягнеться, балансує або використовує руки.;Сидіння з тягненням підтримує контроль тулуба, рівновагу і цілеспрямоване дослідження.;silver;На основі механізму;cdc_ltsae_9_months|who_motor_milestones;Підтримує практику рівноваги, не форсує сидіння.;Будьте поруч. Уникайте твердих поверхонь. Зупиніться, якщо дитина завалюється чи часто падає.;Одне тягнення до іграшки сидячи.;Використайте підтримку на колінах дорослого.;Потрібне рев'ю щодо руху.
act_012_social_001;11-13 міс;Соціальний;Плескавки з паузою;ms_012_social_001;2-4 хв;без матеріалів;Сядьте навпроти дитини у спокійний грайливий момент.;Сядьте навпроти дитини у грайливий момент. Повільно плесніть і зробіть паузу. Зачекайте, поки дитина приєднається. Повторіть будь-яку спробу.;Дитина плескає, усміхається, спостерігає, видає звуки або очікує.;Прості соціальні ігри підтримують чергування, наслідування і спільну увагу.;silver;На основі механізму;cdc_ltsae_12_months|harvard_serve_return_guide;Підтримує соціальну гру, не вимагає ідеального плескання.;Зупиніться, якщо дитина втрачає інтерес або фрустрована.;Одне плескання й пауза.;Використайте будь-яку сімейну пісеньку.;Гарний елемент стартового пакета.
act_012_social_002;11-13 міс;Соціальний;Повторюй за мною: плескаємо;ms_012_social_001;2-4 хв;без матеріалів;NEEDS_REVIEW;Сядьте обличчям до дитини. Зробіть просту дію: плесніть, постукайте по столу або помахайте. Зробіть паузу й запросіть повторити. Хваліть будь-яку спробу й чергуйтесь.;NEEDS_REVIEW;Ігри на наслідування (плескати, махати) підтримують чергування, імітацію й спільну радість.;silver;На основі механізму;CDC + Harvard;NEEDS_REVIEW;Зупиніться, якщо дитина втрачає інтерес або фрустрована.;NEEDS_REVIEW;NEEDS_REVIEW;
act_012_language_001;11-13 міс;Мовлення;Рутина 'па-па';ms_012_language_001;1 хв;без матеріалів;Використайте реальний момент відходу або зникнення предмета.;Використайте реальний момент відходу або зникнення предмета. Повільно помахайте. Скажіть 'па-па'. Зробіть паузу для будь-якого жесту чи погляду.;Дитина махає, дивиться, видає звуки, усміхається або спостерігає.;Повторювані значущі жести підтримують комунікацію в щоденних рутинах.;silver;На основі механізму;cdc_ltsae_12_months|who_nurturing_care;Підтримує використання жестів, не замінює оцінку мовлення.;Не змушуйте. Зупиніться, якщо дитину засмучує відхід.;Помахайте один раз, виходячи з кімнати.;Використайте сімейне слово для прощання.;Корисне рев'ю щодо мовлення.
act_012_language_002;11-13 міс;Мовлення;Назви і відгукнись;ms_012_language_002;2-3 хв;без матеріалів;Під час гри природно називайте імена дорослих.;Під час гри природно називайте імена дорослих. Скажіть 'мама', 'тато' або обране ім'я. Зачекайте. Відповідайте на звук дитини.;Дитина видає звуки, наближено вимовляє, показує, дивиться або усміхається.;Чутливе називання підтримує значення слів через теплі повторювані рутини.;silver;На основі механізму;cdc_ltsae_12_months|harvard_serve_return_guide;Підтримує мовленнєві рутини, не гарантує появи слів.;Зупиніться, якщо дитина фрустрована. Не тисніть, щоб вона 'виступала'.;Скажіть ім'я один раз у рутині.;Використайте будь-яке ім'я дорослого.;Залишайте культурно гнучким.
act_012_cognitive_001;11-13 міс;Мислення;Кладемо і виймаємо;ms_012_cognitive_001;3-6 хв;великі кубики і ємність;Покладіть кілька великих безпечних предметів і ємність на підлогу.;Покладіть кілька великих безпечних предметів і ємність на підлогу. Покажіть, як один предмет кладуть усередину. Зробіть паузу і дайте дитині спробувати. Висипте все разом.;Дитина кладе всередину, виймає, стукає, дивиться або наслідує.;Гра з ємністю підтримує розв'язання задач, роботу рук і розуміння 'причина-наслідок'.;silver;На основі механізму;cdc_ltsae_12_months;Підтримує дослідження, не оцінює виконання завдання.;Лише предмети, якими не можна вдавитися. Наглядайте. Зупиніться, якщо дитина фрустрована.;Один предмет усередину й назовні.;Використайте кошик для білизни й м'які іграшки.;Гарний візуальний контент.
